VALUE
ATHO
ATSO
ATWI
BEHO
BEWI
BGHO
BGSO
BGWI
CHHY
CHSO
CHWI
CO2
CYSO
CYWI
CZHO
CZWI
DEHO
DEWI
DKHO
DKSO
DKWI
EEHO
EEWI
ESHO
ESSO
ESWI
FIHO
FIWI
FRHO
FRWI
GRHY
GRSO
GRWI
HRHY
HRSO
HRWI
HUHO
HUWI
IEHO
IEWI
ITHO
ITSO
ITWI
LTHO
LTWI
LUHO
LUWI
LVHO
LVWI
MTSO
MTWI
NLHO
NLWI
NOHO
NOWI
PLHO
PLWI
PTHO
PTSO
PTWI
ROHY
ROWI
SEHO
SEWI
SIHO
SIWI
SKHO
SKWI
UKC2
UKHO
UKWI
