REGION,TECHNOLOGY,VALUE
REGION1,BGHYDSPH2,31.536
REGION1,BGHYDSPH3,31.536
REGION1,BGNG00I00,1
REGION1,BGNG00X00,1
REGION1,BGNGCCPH2,31.536
REGION1,BGNGCHPH3,31.536
REGION1,BGNGCHPN3,31.536
REGION1,BGNGCSPN2,31.536
REGION1,BGNGFCFH1,31.536
REGION1,BGNGGCPH2,31.536
REGION1,BGNGGCPN2,31.536
REGION1,BGNGHPFH1,31.536
REGION1,BGNGHPPH2,31.536
REGION1,BGNGSTPH2,31.536
REGION1,BGNUG2PH3,31.536
REGION1,BGNUG3PN3,31.536
REGION1,BGOCWVPH1,31.536
REGION1,BGOI00I00,1
REGION1,BGOI00X00,1
REGION1,BGOIRFPH0,1
REGION1,BGSODIFH1,31.536
REGION1,BGSOUTPH2,31.536
REGION1,BGUR00I00,1
REGION1,BGWIONPH3,31.536
REGION1,BGWS00X00,1
REGION1,BGWSCHPH2,31.536
REGION1,BGWSSTPH1,31.536
REGION1,CHBF00I00,1
REGION1,CHBF00X00,1
REGION1,CHBFHPFH1,31.536
REGION1,CHBM00I00,1
REGION1,CHBM00X00,1
REGION1,CHBMCCPH1,31.536
REGION1,CHBMCHPH3,31.536
REGION1,CHBMCSPN2,31.536
REGION1,CHBMSTPH3,31.536
REGION1,CHCO00I00,1
REGION1,CHCOCHPH3,31.536
REGION1,CHCOCSPN2,31.536
REGION1,CHCOSTPH1,31.536
REGION1,CHCOSTPH3,31.536
REGION1,CHEL00TD0,1
REGION1,CHELDEPH1,31.536
REGION1,CHELFRPH1,31.536
REGION1,CHELITPH1,31.536
REGION1,CHGO00X00,1
REGION1,CHGOCVPH2,31.536
REGION1,CHHF00I00,1
REGION1,CHHFCCPH2,31.536
REGION1,CHHFCHPH3,31.536
REGION1,CHHFGCPH3,31.536
REGION1,CHHFGCPN3,31.536
REGION1,CHHFHPFH1,31.536
REGION1,CHHFHPPH2,31.536
REGION1,CHHFSTPH2,31.536
REGION1,CHHFSTPH3,31.536
REGION1,CHHYDMPH0,31.536
REGION1,CHHYDMPH1,31.536
REGION1,CHHYDMPH2,31.536
REGION1,CHHYDMPH3,31.536
REGION1,CHHYDSPH2,31.536
REGION1,CHHYDSPH3,31.536
REGION1,CHNG00I00,1
REGION1,CHNGCCPH2,31.536
REGION1,CHNGCHPH3,31.536
REGION1,CHNGCHPN3,31.536
REGION1,CHNGCSPN2,31.536
REGION1,CHNGFCFH1,31.536
REGION1,CHNGGCPH2,31.536
REGION1,CHNGGCPN2,31.536
REGION1,CHNGHPFH1,31.536
REGION1,CHNGHPPH2,31.536
REGION1,CHNGSTPH2,31.536
REGION1,CHNUG2PH3,31.536
REGION1,CHNUG3PN3,31.536
REGION1,CHOI00I00,1
REGION1,CHOIRFPH0,1
REGION1,CHSODIFH1,31.536
REGION1,CHSOUTPH2,31.536
REGION1,CHUR00I00,1
REGION1,CHWIONPH3,31.536
REGION1,CHWS00X00,1
REGION1,CHWSCHPH2,31.536
REGION1,CHWSSTPH1,31.536
REGION1,CYBF00I00,1
REGION1,CYBF00X00,1
REGION1,CYBFHPFH1,31.536
REGION1,CYBM00I00,1
REGION1,CYBM00X00,1
REGION1,CYBMCCPH1,31.536
REGION1,CYBMCHPH3,31.536
REGION1,CYBMCSPN2,31.536
REGION1,CYBMSTPH3,31.536
REGION1,CYEL00TD0,1
REGION1,CYGO00X00,1
REGION1,CYGOCVPH2,31.536
REGION1,CYHF00I00,1
REGION1,CYHFCCPH2,31.536
REGION1,CYHFCHPH3,31.536
REGION1,CYHFGCPH3,31.536
REGION1,CYHFGCPN3,31.536
REGION1,CYHFHPFH1,31.536
REGION1,CYHFHPPH2,31.536
REGION1,CYHFSTPH2,31.536
REGION1,CYHFSTPH3,31.536
REGION1,CYNG00I00,1
REGION1,CYNG00X00,1
REGION1,CYNGCCPH2,31.536
REGION1,CYNGCHPH3,31.536
REGION1,CYNGCHPN3,31.536
REGION1,CYNGCSPN2,31.536
REGION1,CYNGFCFH1,31.536
REGION1,CYNGGCPH2,31.536
REGION1,CYNGGCPN2,31.536
REGION1,CYNGHPFH1,31.536
REGION1,CYNGHPPH2,31.536
REGION1,CYNGSTPH2,31.536
REGION1,CYOCWVPH1,31.536
REGION1,CYSODIFH1,31.536
REGION1,CYSOUTPH2,31.536
REGION1,CYWIONPH3,31.536
REGION1,CYWS00X00,1
REGION1,CYWSCHPH2,31.536
REGION1,CYWSSTPH1,31.536
REGION1,CZBF00I00,1
REGION1,CZBF00X00,1
REGION1,CZBFHPFH1,31.536
REGION1,CZBM00I00,1
REGION1,CZBM00X00,1
REGION1,CZBMCCPH1,31.536
REGION1,CZBMCHPH3,31.536
REGION1,CZBMCSPN2,31.536
REGION1,CZBMSTPH3,31.536
REGION1,CZCO00I00,1
REGION1,CZCO00X00,1
REGION1,CZCOCHPH3,31.536
REGION1,CZCOCSPN2,31.536
REGION1,CZCOSTPH1,31.536
REGION1,CZCOSTPH3,31.536
REGION1,CZEL00TD0,1
REGION1,CZELDEPH1,31.536
REGION1,CZELPLPH1,31.536
REGION1,CZELSKPH1,31.536
REGION1,CZGO00X00,1
REGION1,CZGOCVPH2,31.536
REGION1,CZHF00I00,1
REGION1,CZHFCCPH2,31.536
REGION1,CZHFCHPH3,31.536
REGION1,CZHFGCPH3,31.536
REGION1,CZHFGCPN3,31.536
REGION1,CZHFHPFH1,31.536
REGION1,CZHFHPPH2,31.536
REGION1,CZHFSTPH2,31.536
REGION1,CZHFSTPH3,31.536
REGION1,CZHYDMPH0,31.536
REGION1,CZHYDMPH1,31.536
REGION1,CZHYDMPH2,31.536
REGION1,CZHYDMPH3,31.536
REGION1,CZHYDSPH2,31.536
REGION1,CZHYDSPH3,31.536
REGION1,CZNG00I00,1
REGION1,CZNG00X00,1
REGION1,CZNGCCPH2,31.536
REGION1,CZNGCHPH3,31.536
REGION1,CZNGCHPN3,31.536
REGION1,CZNGCSPN2,31.536
REGION1,CZNGFCFH1,31.536
REGION1,CZNGGCPH2,31.536
REGION1,CZNGGCPN2,31.536
REGION1,CZNGHPFH1,31.536
REGION1,CZNGHPPH2,31.536
REGION1,CZNGSTPH2,31.536
REGION1,CZNUG2PH3,31.536
REGION1,CZNUG3PH3,31.536
REGION1,CZOI00I00,1
REGION1,CZOI00X00,1
REGION1,CZOIRFPH0,1
REGION1,CZSODIFH1,31.536
REGION1,CZSOUTPH2,31.536
REGION1,CZUR00I00,1
REGION1,CZWIONPH3,31.536
REGION1,CZWS00X00,1
REGION1,CZWSCHPH2,31.536
REGION1,CZWSSTPH1,31.536
REGION1,DEBF00I00,1
